Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Jarred Vanderbilt,IWA,20,7,5,201,45,88,0.511,3,14,0.214,42,74,0.568,0.528,11,20,0.55,30,61,91,25,10,10,28,15,111,
Jarred Vanderbilt,RGV,20,10,1,244,51,100,0.51,5,15,0.333,46,85,0.541,0.535,15,25,0.6,31,50,81,16,12,7,33,23,130,
Jarred Vanderbilt,WCB,20,3,3,91,20,37,0.541,0,2,0,20,35,0.571,0.541,7,9,0.778,7,23,30,4,5,5,8,11,52,
Gabe Vincent,TOT,23,31,3,908,223,500,0.446,129,319,0.404,94,181,0.519,0.575,47,51,0.922,23,73,96,71,36,7,47,99,648,
Gabe Vincent,SFL,23,11,0,272,58,148,0.392,41,110,0.373,17,38,0.447,0.53,12,12,1,8,12,20,22,10,2,11,28,180,
Gabe Vincent,STO,23,20,3,636,165,352,0.469,88,209,0.421,77,143,0.538,0.594,35,39,0.897,15,61,76,49,26,5,36,71,468,
Dean Wade,CAN,23,30,29,932,148,321,0.461,55,138,0.399,93,183,0.508,0.547,50,59,0.847,47,177,224,72,26,39,42,62,427,
Wyatt Walker,SLC,,2,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,2,0,
Tyrone Wallace,TOT,25,3,1,74,16,32,0.5,5,13,0.385,11,19,0.579,0.578,3,4,0.75,1,9,10,9,2,1,7,11,42,
Tyrone Wallace,ACC,25,2,0,46,11,22,0.5,3,9,0.333,8,13,0.615,0.568,1,2,0.5,1,6,7,5,1,1,4,5,27,
Tyrone Wallace,CPS,25,1,1,28,5,10,0.5,2,4,0.5,3,6,0.5,0.6,2,2,1,0,3,3,4,1,0,3,6,15,
Derrick Walton Jr.,ACC,24,7,7,218,25,63,0.397,4,16,0.25,21,47,0.447,0.429,20,24,0.833,7,33,40,52,9,0,21,15,83,
Nick Ward,CPS,,34,11,693,159,263,0.605,0,3,0,159,260,0.612,0.605,78,124,0.629,89,132,221,19,17,19,50,76,451,
Julian Washburn,DEL,28,39,18,1016,92,204,0.451,50,128,0.391,42,76,0.553,0.574,12,15,0.8,31,154,185,60,47,13,44,60,254,
Yuta Watanabe,MHU,25,22,22,719,149,275,0.542,32,88,0.364,117,187,0.626,0.6,31,38,0.816,22,106,128,47,20,21,29,32,379,
Tremont Waters,MAI,22,36,36,1217,229,533,0.43,90,251,0.359,139,282,0.493,0.514,71,91,0.78,16,101,117,259,70,9,129,90,648,
Paul Watson,RAP,25,30,30,1059,211,426,0.495,91,215,0.423,120,211,0.569,0.602,35,54,0.648,25,170,195,58,34,25,92,99,570,
Travis Wear,SBL,29,23,21,703,119,254,0.469,40,116,0.345,79,138,0.572,0.547,15,21,0.714,21,127,148,73,18,12,37,55,304,
Quinndary Weatherspoon,AUS,23,36,35,1056,199,440,0.452,51,152,0.336,148,288,0.514,0.51,54,67,0.806,29,111,140,185,41,13,95,101,531,
James Webb III,IWA,26,29,18,771,141,300,0.47,54,157,0.344,87,143,0.608,0.56,39,47,0.83,47,187,234,51,24,17,31,73,399,
Thomas Welsh,GBO,23,43,38,1015,188,381,0.493,33,102,0.324,155,279,0.556,0.537,28,37,0.757,144,238,382,70,11,12,55,71,454,
Wenyen Gabriel,STO,22,7,0,176,46,83,0.554,12,26,0.462,34,57,0.596,0.627,19,21,0.905,21,41,62,9,7,13,18,30,135,
Andrew White,WES,26,41,38,1250,179,408,0.439,85,217,0.392,94,191,0.492,0.543,31,37,0.838,11,155,166,54,27,7,56,96,489,
Paul White,TOT,,23,11,412,70,162,0.432,20,70,0.286,50,92,0.543,0.494,16,22,0.727,30,51,81,22,11,8,21,54,185,
Paul White,RAP,,3,0,44,4,14,0.286,1,5,0.2,3,9,0.333,0.321,0,0,,3,2,5,1,2,1,2,5,9,
Paul White,SLC,,20,11,368,66,148,0.446,19,65,0.292,47,83,0.566,0.51,16,22,0.727,27,49,76,21,9,7,19,49,176,
Demajeo Wiggins,GBO,,21,0,146,17,40,0.425,0,2,0,17,38,0.447,0.425,12,23,0.522,35,20,55,7,2,4,14,23,53,
Lindell Wigginton,IWA,21,42,9,1134,216,513,0.421,83,239,0.347,133,274,0.485,0.502,79,114,0.693,35,121,156,157,24,14,113,109,642,
C.J. Wilcox,FWN,29,42,34,1190,167,412,0.405,114,289,0.394,53,123,0.431,0.544,48,58,0.828,17,90,107,69,60,15,34,67,530,
Thomas Wilder,WCB,24,35,5,656,85,215,0.395,17,58,0.293,68,157,0.433,0.435,25,43,0.581,28,76,104,117,36,6,32,53,230,
C.J. Williams,LIN,29,39,20,1070,138,357,0.387,87,240,0.363,51,117,0.436,0.508,27,37,0.73,27,132,159,100,32,19,57,110,415,
Johnathan Williams,CCG,24,17,16,409,95,139,0.683,0,3,0,95,136,0.699,0.683,12,26,0.462,51,100,151,28,8,15,29,33,210,
Kenny Williams,AUS,,39,14,879,104,269,0.387,50,169,0.296,54,100,0.54,0.48,21,25,0.84,26,79,105,79,30,9,38,62,293,
Nigel Williams-Goss,SLC,25,17,17,503,100,197,0.508,19,54,0.352,81,143,0.566,0.556,28,36,0.778,6,61,67,95,24,3,36,39,260,
D.J. Wilson,WIS,23,5,5,153,35,81,0.432,11,29,0.379,24,52,0.462,0.5,7,11,0.636,11,32,43,15,3,10,12,14,94,
Dylan Windler,CAN,23,2,0,37,4,9,0.444,2,7,0.286,2,2,1,0.556,2,2,1,3,5,8,1,2,0,5,2,13,
Todd Withers,GRR,23,42,25,1055,160,370,0.432,96,263,0.365,64,107,0.598,0.562,23,30,0.767,68,140,208,47,39,32,39,76,451,
Adam Woodbury,GRR,26,41,6,837,155,305,0.508,1,3,0.333,154,302,0.51,0.51,59,77,0.766,123,214,337,31,22,13,55,117,408,
Kenny Wooten,WES,21,27,19,671,81,126,0.643,0,1,0,81,125,0.648,0.643,26,45,0.578,58,108,166,35,17,99,29,80,205,
Isaiah Wright,STO,23,7,6,172,14,31,0.452,8,17,0.471,6,14,0.429,0.581,1,3,0.333,3,13,16,29,5,1,13,23,37,
Jay Wright,OKL,25,1,0,11,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,1,0,0,0,1,0,
Justin Wright-Foreman,SLC,22,36,33,1012,223,482,0.463,79,196,0.403,144,286,0.503,0.545,63,79,0.797,19,91,110,91,23,4,91,74,621,
Keith Wright,WES,30,2,0,25,1,3,0.333,0,1,0,1,2,0.5,0.333,1,1,1,3,5,8,3,0,2,2,1,4,
Ash Yacoubou,LIN,27,20,10,417,53,135,0.393,26,76,0.342,27,59,0.458,0.489,5,8,0.625,21,75,96,21,12,1,20,38,142,
Kevin Young,TOT,29,38,10,690,97,167,0.581,8,26,0.308,89,141,0.631,0.605,18,35,0.514,84,104,188,42,35,21,32,103,234,
Kevin Young,SCW,29,3,0,28,1,3,0.333,0,0,,1,3,0.333,0.333,1,2,0.5,2,5,7,2,0,0,2,1,4,
Kevin Young,STO,29,35,10,662,96,164,0.585,8,26,0.308,88,138,0.638,0.61,17,33,0.515,82,99,181,40,35,21,30,102,230,
Nick Zeisloft,SCW,27,32,16,727,84,219,0.384,65,177,0.367,19,42,0.452,0.532,17,17,1,4,49,53,29,21,2,11,29,256,
Josh Adams,RAP,,2,0,49,5,15,0.333,1,6,0.167,4,9,0.444,0.367,2,3,0.667,0,5,5,4,3,0,6,3,13,
Bryce Alford,OKL,24,2,0,57,9,23,0.391,7,18,0.389,2,5,0.4,0.543,2,2,1,0,6,6,5,2,0,3,2,27,
Dakarai Allen,GRR,23,1,0,23,1,3,0.333,0,1,0,1,2,0.5,0.333,1,2,0.5,2,1,3,1,0,0,2,3,3,
Grayson Allen,SLC,23,1,1,38,11,15,0.733,6,8,0.75,5,7,0.714,0.933,9,12,0.75,2,4,6,5,0,0,3,4,37,
Braian Angola-Rodas,LAK,22,2,0,27,1,6,0.167,0,4,0,1,2,0.5,0.167,0,0,,0,2,2,8,0,0,0,1,2,
Wade Baldwin,RAP,22,2,2,67,14,34,0.412,4,10,0.4,10,24,0.417,0.471,3,6,0.5,2,12,14,8,0,0,13,5,35,
V.J. Beachem,WCB,24,1,1,31,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,1,2,3,1,0,1,0,4,2,
Michael Bethea Jr.,GRR,,1,0,5,0,3,0,0,2,0,0,1,0,0,0,0,,0,2,2,0,0,0,2,1,0,
Tim Bond,RGV,23,4,0,19,4,12,0.333,0,3,0,4,9,0.444,0.333,4,5,0.8,2,3,5,1,0,1,1,2,12,
Chris Boucher,RAP,26,2,2,80,18,40,0.45,4,13,0.308,14,27,0.519,0.5,5,5,1,5,14,19,2,3,12,6,7,45,
Jacobi Boykins,RGV,23,2,0,28,4,6,0.667,2,4,0.5,2,2,1,0.833,0,0,,1,4,5,0,1,2,3,2,10,
Tony Bradley,SLC,21,1,1,20,7,14,0.5,0,1,0,7,13,0.538,0.5,1,3,0.333,2,2,4,0,1,0,3,3,15,
Stephaun Branch,SLC,23,1,0,18,3,7,0.429,1,3,0.333,2,4,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,7,
Deonte Burton,SLC,27,1,0,18,0,3,0,0,1,0,0,2,0,0,1,2,0.5,2,3,5,2,0,0,3,2,1,
Deonte Burton,OKL,25,1,1,25,7,16,0.438,0,6,0,7,10,0.7,0.438,3,4,0.75,1,3,4,4,0,1,4,6,17,
Antonio Campbell,LAK,,2,0,20,2,5,0.4,1,3,0.333,1,2,0.5,0.5,1,2,0.5,0,2,2,1,0,1,1,3,6,
Jevon Carter,MHU,23,1,1,34,9,21,0.429,3,9,0.333,6,12,0.5,0.5,2,2,1,0,4,4,6,1,0,5,2,23,
Kyle Casey,MHU,29,2,2,51,9,18,0.5,3,5,0.6,6,13,0.462,0.583,2,3,0.667,0,6,6,6,0,3,5,8,23,
Troy Caupain,LAK,23,2,2,71,13,32,0.406,5,11,0.455,8,21,0.381,0.484,3,3,1,5,10,15,8,1,1,3,3,34,
Tyler Cavanaugh,SLC,24,1,1,33,9,17,0.529,3,9,0.333,6,8,0.75,0.618,0,0,,2,11,13,0,1,0,1,4,21,
Will Cherry,SCW,27,2,0,38,4,12,0.333,1,3,0.333,3,9,0.333,0.375,4,4,1,1,2,3,12,4,0,5,2,13,
Gary Clark,RGV,24,3,1,41,3,5,0.6,2,4,0.5,1,1,1,0.8,0,1,0,2,7,9,7,3,2,0,6,8,
Antonius Cleveland,SCW,24,2,0,34,6,15,0.4,2,6,0.333,4,9,0.444,0.467,5,7,0.714,2,3,5,0,4,3,2,6,19,
Derek Cooke Jr.,RAP,27,2,0,17,2,5,0.4,0,0,,2,5,0.4,0.4,1,2,0.5,1,6,7,0,2,0,1,4,5,
Isaiah Cousins,SLC,24,1,1,32,2,8,0.25,0,4,0,2,4,0.5,0.25,0,0,,1,1,2,8,1,0,3,2,4,
Markel Crawford,MHU,24,2,1,60,14,32,0.438,8,20,0.4,6,12,0.5,0.563,3,3,1,2,6,8,9,3,0,2,3,39,
Mitchell Creek,LIN,26,1,1,34,4,13,0.308,1,3,0.333,3,10,0.3,0.346,4,4,1,5,7,12,3,2,0,4,5,13,
Devin Davis,LAK,23,2,0,34,3,9,0.333,2,3,0.667,1,6,0.167,0.444,0,0,,6,7,13,3,1,2,1,6,8,
Will Davis,LIN,26,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0,
Cody Demps,STO,25,1,1,41,8,17,0.471,1,4,0.25,7,13,0.538,0.5,2,4,0.5,2,6,8,7,3,3,4,4,19,
Marcus Derrickson,SCW,22,2,2,41,2,10,0.2,1,4,0.25,1,6,0.167,0.25,2,2,1,3,4,7,2,0,1,3,2,7,
Trevon Duval,RGV,20,2,0,17,2,5,0.4,0,2,0,2,3,0.667,0.4,2,2,1,0,0,0,5,4,0,2,2,6,
Vincent Edwards,RGV,22,5,5,130,13,26,0.5,9,18,0.5,4,8,0.5,0.673,3,3,1,8,14,22,8,1,1,4,9,38,
Jacob Evans,SCW,21,2,2,55,10,19,0.526,5,8,0.625,5,11,0.455,0.658,4,4,1,3,6,9,7,2,2,7,5,29,
C.J. Fair,WCB,27,1,1,23,4,8,0.5,0,2,0,4,6,0.667,0.5,2,2,1,0,5,5,0,1,0,0,1,10,
Matthew Fisher-Davis,WES,,1,0,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,0,0,0,0,0,0,0,2,
Melvin Frazier Jr.,LAK,22,2,1,47,5,16,0.313,2,8,0.25,3,8,0.375,0.375,0,0,,2,3,5,0,1,3,3,4,12,
Michael Frazier,RGV,24,5,5,187,33,76,0.434,24,49,0.49,9,27,0.333,0.592,15,25,0.6,4,22,26,17,5,2,12,12,105,
Abdul Gaddy,OKL,27,2,2,62,11,14,0.786,4,6,0.667,7,8,0.875,0.929,4,6,0.667,2,6,8,9,3,0,6,9,30,
Billy Garrett,WES,24,2,2,73,12,28,0.429,3,10,0.3,9,18,0.5,0.482,5,6,0.833,1,4,5,14,0,0,6,2,32,
Kaiser Gates,WCB,22,1,0,31,2,12,0.167,2,10,0.2,0,2,0,0.25,0,0,,0,3,3,1,1,0,0,5,6,
Michael Gbinije,SCW,26,2,0,31,6,13,0.462,2,7,0.286,4,6,0.667,0.538,0,0,,1,6,7,1,2,1,0,2,14,
Gyorgy Goloman,WES,,1,0,4,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,1,1,2,0,0,0,0,1,2,
Donte Grantham,OKL,23,2,2,44,1,12,0.083,0,9,0,1,3,0.333,0.083,2,2,1,1,11,12,3,0,1,4,2,4,
Isaac Haas,SLC,23,1,0,6,2,4,0.5,0,0,,2,4,0.5,0.5,1,2,0.5,1,3,4,0,0,1,0,0,5,
Devon Hall,OKL,23,2,1,29,0,6,0,0,6,0,0,0,,0,0,0,,0,4,4,1,0,0,4,2,0,
Ferrakohn Hall,WCB,28,1,0,4,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,
Daniel Hamilton,RGV,23,4,0,43,7,19,0.368,2,8,0.25,5,11,0.455,0.421,3,6,0.5,1,7,8,3,1,0,5,1,19,
Johnny Hamilton,GRR,24,1,0,19,4,7,0.571,0,0,,4,7,0.571,0.571,4,4,1,4,7,11,0,0,0,2,1,12,
Dusty Hannahs,MHU,25,2,1,69,20,43,0.465,10,19,0.526,10,24,0.417,0.581,8,8,1,0,3,3,4,3,0,3,5,58,
Isaiah Hartenstein,RGV,20,5,5,163,43,84,0.512,15,32,0.469,28,52,0.538,0.601,19,25,0.76,33,43,76,13,3,6,17,20,120,
Reggie Hearn,STO,27,1,0,18,2,6,0.333,1,5,0.2,1,1,1,0.417,0,0,,0,0,0,3,1,0,1,1,5,
Kevin Hervey,OKL,22,2,2,59,15,26,0.577,5,10,0.5,10,16,0.625,0.673,5,5,1,7,9,16,5,4,1,0,3,40,
Nate Hickman,WES,,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
Isaiah Hicks,WES,24,2,2,54,9,15,0.6,0,1,0,9,14,0.643,0.6,0,0,,6,9,15,6,1,3,4,5,18,
Jeremiah Hill,LAK,,2,0,27,4,9,0.444,3,5,0.6,1,4,0.25,0.611,0,0,,1,0,1,3,1,1,1,2,11,
Scotty Hopson,OKL,29,2,2,68,16,30,0.533,1,7,0.143,15,23,0.652,0.55,14,15,0.933,6,5,11,8,4,3,3,6,47,
Jon Horford,GRR,27,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0,
Jordan Howard,RAP,,1,0,12,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,0,0,1,0,0,0,0,5,
Zak Irvin,WES,24,2,2,68,11,22,0.5,1,1,1,10,21,0.476,0.523,4,8,0.5,3,19,22,4,0,0,3,4,27,
Amile Jefferson,LAK,25,2,2,75,17,36,0.472,0,0,,17,36,0.472,0.472,7,9,0.778,7,10,17,8,1,3,2,5,41,
BJ Johnson,LAK,23,2,2,65,14,29,0.483,6,13,0.462,8,16,0.5,0.586,8,8,1,3,11,14,1,3,2,3,3,42,
Jordan Johnson,RGV,,5,0,128,26,51,0.51,10,19,0.526,16,32,0.5,0.608,15,20,0.75,1,20,21,22,4,0,15,10,77,
Nino Johnson,MHU,26,2,0,39,7,15,0.467,0,0,,7,15,0.467,0.467,0,0,,11,8,19,3,4,3,3,5,14,
Matt Jones,STO,24,1,1,41,7,13,0.538,1,5,0.2,6,8,0.75,0.577,6,6,1,0,2,2,0,1,0,0,3,21,
Ismaila Kane,MHU,21,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,
Luke Kornet,WES,23,1,1,33,6,15,0.4,2,6,0.333,4,9,0.444,0.467,0,0,,1,8,9,2,1,3,3,1,14,
Damion Lee,SCW,26,2,2,67,8,25,0.32,1,9,0.111,7,16,0.438,0.34,11,13,0.846,2,11,13,10,4,1,2,5,28,
Walter Lemon Jr.,WCB,26,1,1,43,12,27,0.444,1,2,0.5,11,25,0.44,0.463,4,6,0.667,0,7,7,7,0,0,2,2,29,
Justin Leon,OKL,23,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,
Jordan Loyd,RAP,25,2,2,76,12,30,0.4,2,10,0.2,10,20,0.5,0.433,9,11,0.818,4,15,19,13,5,3,6,10,35,
Kalin Lucas,GRR,29,1,1,37,8,22,0.364,1,4,0.25,7,18,0.389,0.386,3,4,0.75,0,4,4,9,0,1,4,3,20,
Jairus Lyles,SLC,22,1,0,15,1,4,0.25,1,2,0.5,0,2,0,0.375,0,0,,1,1,2,1,1,0,1,0,3,
Tahjere McCall,LIN,24,5,5,153,16,43,0.372,3,10,0.3,13,33,0.394,0.407,11,14,0.786,6,25,31,16,5,3,9,19,46,
KJ McDaniels,OKL,25,2,0,39,7,15,0.467,1,4,0.25,6,11,0.545,0.5,2,2,1,2,7,9,2,2,2,3,6,17,
Tanner McGrew,SLC,,1,0,8,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0,0,2,0,0,2,1,3,
MiKyle McIntosh,RAP,,2,0,49,9,19,0.474,3,8,0.375,6,11,0.545,0.553,4,7,0.571,2,10,12,4,4,1,4,1,25,
Jordan McLaughlin,LIN,22,5,0,164,33,73,0.452,13,36,0.361,20,37,0.541,0.541,5,7,0.714,3,23,26,28,9,2,11,6,84,
Malcolm Miller,RAP,25,2,2,70,7,18,0.389,6,12,0.5,1,6,0.167,0.556,2,2,1,1,2,3,3,2,2,1,8,22,
Shonn Miller,SLC,25,1,0,26,3,5,0.6,0,1,0,3,4,0.75,0.6,2,2,1,1,4,5,1,0,1,0,5,8,
Naz Mitrou-Long,SLC,25,1,1,26,2,6,0.333,1,3,0.333,1,3,0.333,0.417,4,4,1,0,2,2,10,0,0,3,3,9,
Doral Moore,MHU,22,2,2,50,6,7,0.857,0,0,,6,7,0.857,0.857,5,8,0.625,2,9,11,1,0,6,3,5,17,
Darius Morris,SCW,28,2,2,58,12,27,0.444,3,11,0.273,9,16,0.563,0.5,4,6,0.667,1,3,4,12,1,0,3,4,31,
Roger Moute A Bidias,RGV,23,5,0,73,6,21,0.286,1,6,0.167,5,15,0.333,0.31,8,10,0.8,8,8,16,5,5,1,2,7,21,
Mychal Mulder,WCB,24,1,1,44,6,16,0.375,4,12,0.333,2,4,0.5,0.5,4,6,0.667,0,8,8,2,0,0,1,4,20,
Kamari Murphy,LIN,25,5,0,109,14,24,0.583,1,3,0.333,13,21,0.619,0.604,4,6,0.667,11,19,30,5,2,6,2,14,33,
Dzanan Musa,LIN,19,5,5,188,35,90,0.389,10,40,0.25,25,50,0.5,0.444,18,19,0.947,2,22,24,9,4,2,9,9,98,
Josh Newkirk,LIN,,5,0,45,7,15,0.467,5,11,0.455,2,4,0.5,0.633,0,0,,0,8,8,2,0,0,1,5,19,
Duane Notice,RAP,24,2,2,61,1,12,0.083,0,6,0,1,6,0.167,0.083,3,3,1,1,6,7,4,3,1,1,4,5,
Kendrick Nunn,SCW,23,2,0,63,24,39,0.615,9,12,0.75,15,27,0.556,0.731,3,3,1,1,9,10,6,4,0,4,2,60,
Daniel Ochefu,STO,25,1,1,21,0,4,0,0,0,,0,4,0,0,0,0,,0,4,4,2,0,0,1,4,0,
Jon Octeus,WCB,27,1,0,17,0,2,0,0,1,0,0,1,0,0,0,0,,2,2,4,1,0,1,0,1,0,
Uche Ofoegbu,RAP,,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
Kevin Olekaibe,LIN,26,2,0,3,0,3,0,0,3,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
Nuni Omot,LIN,24,3,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,1,1,2,0,
Gary Payton II,RGV,26,5,5,125,34,87,0.391,5,23,0.217,29,64,0.453,0.42,8,11,0.727,13,25,38,18,18,4,13,19,81,
John Petrucelli,LAK,26,2,1,58,6,20,0.3,2,9,0.222,4,11,0.364,0.35,8,9,0.889,4,7,11,4,5,1,1,3,22,
Theo Pinson,LIN,23,5,5,191,36,94,0.383,11,48,0.229,25,46,0.543,0.441,16,19,0.842,3,27,30,24,4,7,17,17,99,
Rodney Pryor,RAP,26,1,0,8,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,1,0,0,0,0,0,
LaQuinton Ross,MHU,,2,0,18,3,5,0.6,0,0,,3,5,0.6,0.6,2,2,1,0,2,2,0,0,0,2,3,8,
JaKarr Sampson,WCB,25,1,1,38,7,20,0.35,0,3,0,7,17,0.412,0.35,1,3,0.333,5,3,8,2,2,3,3,3,15,
Ismael Sanogo,LIN,,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,
Kethan Savage,WES,25,2,0,21,0,1,0,0,1,0,0,0,,0,0,0,,0,2,2,1,0,0,2,1,0,
Alen Smailagic,SCW,18,2,0,23,4,7,0.571,0,0,,4,7,0.571,0.571,2,2,1,2,3,5,2,2,1,6,5,10,
Kenneth Smith,GRR,26,1,0,29,0,8,0,0,4,0,0,4,0,0,0,0,,2,6,8,5,3,0,2,4,0,
Elijah Stewart,STO,23,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
Diamond Stone,RGV,21,4,0,30,8,20,0.4,5,13,0.385,3,7,0.429,0.525,6,6,1,3,4,7,0,0,1,5,6,27,
Jay-R Strowbridge,MHU,,2,0,48,4,12,0.333,2,6,0.333,2,6,0.333,0.417,2,4,0.5,1,5,6,3,1,0,1,6,12,
Taren Sullivan,STO,23,1,0,13,1,5,0.2,1,4,0.25,0,1,0,0.3,0,0,,0,1,1,0,0,0,0,2,3,
Caleb Swanigan,STO,21,1,1,36,6,11,0.545,0,0,,6,11,0.545,0.545,2,3,0.667,5,12,17,5,0,1,3,4,14,
Marcus Thornton,GRR,31,1,1,40,9,22,0.409,4,10,0.4,5,12,0.417,0.5,1,2,0.5,3,5,8,2,6,0,1,1,23,
Juan Toscano-Anderson,SCW,25,2,2,52,9,17,0.529,1,4,0.25,8,13,0.615,0.559,1,2,0.5,1,13,14,2,2,0,3,5,20,
Dakarai Tucker,RGV,24,5,4,168,29,69,0.42,15,37,0.405,14,32,0.438,0.529,16,17,0.941,6,20,26,12,5,4,13,10,89,
Gabe Vincent,STO,22,1,0,16,5,6,0.833,1,1,1,4,5,0.8,0.917,2,3,0.667,1,0,1,1,2,0,1,1,13,
Anthony Walker,STO,25,1,0,4,2,2,1,0,0,,2,2,1,1,0,0,,0,0,0,0,0,0,0,0,4,
Chris Walker,RGV,24,5,0,47,12,21,0.571,0,0,,12,21,0.571,0.571,5,9,0.556,9,13,22,4,2,1,2,5,29,
Jameel Warney,WES,25,2,1,62,13,23,0.565,0,2,0,13,21,0.619,0.565,3,4,0.75,3,16,19,4,1,0,1,1,29,
Julian Washburn,MHU,27,1,1,35,4,5,0.8,2,2,1,2,3,0.667,1,0,0,,0,2,2,4,1,0,0,0,10,
Yuta Watanabe,MHU,24,2,2,73,13,26,0.5,4,8,0.5,9,18,0.5,0.577,6,8,0.75,4,11,15,10,1,3,6,1,36,
Paul Watson,WES,24,2,2,73,10,23,0.435,0,6,0,10,17,0.588,0.435,0,1,0,0,9,9,2,2,3,6,5,20,
Dez Wells,OKL,26,2,0,58,9,22,0.409,1,4,0.25,8,18,0.444,0.432,6,7,0.857,2,11,13,3,2,2,5,4,25,
Isaiah Whitehead,GRR,23,1,1,36,6,14,0.429,2,4,0.5,4,10,0.4,0.5,3,3,1,0,6,6,0,1,4,6,1,17,
Sekou Wiggs,WES,,2,0,52,9,21,0.429,2,6,0.333,7,15,0.467,0.476,9,14,0.643,2,9,11,5,0,0,2,1,29,
Thomas Wilder,WCB,23,1,0,9,0,2,0,0,1,0,0,1,0,0,0,0,,0,2,2,2,1,0,0,0,0,
Alan Williams,LIN,26,5,5,162,31,75,0.413,1,8,0.125,30,67,0.448,0.42,27,38,0.711,24,54,78,6,4,14,10,17,90,
Marcus Williams,STO,33,1,0,16,2,7,0.286,1,3,0.333,1,4,0.25,0.357,2,2,1,2,3,5,4,0,0,1,1,7,
Troy Williams,STO,24,1,1,33,10,19,0.526,6,12,0.5,4,7,0.571,0.684,7,9,0.778,1,5,6,1,1,2,1,3,33,
Thomas Wimbush,LIN,25,5,4,149,30,59,0.508,11,25,0.44,19,34,0.559,0.602,12,13,0.923,10,23,33,8,6,2,6,13,83,
Todd Withers,GRR,22,1,1,37,4,11,0.364,3,8,0.375,1,3,0.333,0.5,0,0,,0,11,11,0,1,3,1,3,11,
Adam Woodbury,GRR,25,1,1,20,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,2,1,3,2,1,2,0,3,4,
Chris Wright,OKL,30,2,0,35,4,9,0.444,0,0,,4,9,0.444,0.444,5,7,0.714,3,3,6,3,4,2,1,4,13,
Gabe York,LAK,25,2,2,67,12,29,0.414,5,16,0.313,7,13,0.538,0.5,3,3,1,1,7,8,6,4,0,2,1,32,
Kevin Young,SCW,28,2,0,19,4,6,0.667,1,1,1,3,5,0.6,0.75,2,2,1,4,2,6,0,2,0,3,2,11,
Stephen Zimmerman,WES,22,2,0,34,6,10,0.6,0,0,,6,10,0.6,0.6,1,2,0.5,2,6,8,1,0,4,3,1,13,
Daniel Alexander,AUS,26,2,0,6,1,5,0.2,0,1,0,1,4,0.25,0.2,1,2,0.5,0,0,0,0,1,0,1,1,3,
Bryce Alford,OKL,23,1,1,37,6,10,0.6,4,8,0.5,2,2,1,0.8,3,3,1,0,1,1,3,1,0,0,1,19,
Alan Anderson,LAK,35,1,0,27,3,13,0.231,1,6,0.167,2,7,0.286,0.269,8,13,0.615,4,5,9,1,2,0,3,3,15,
Ike Anigbogu,FWN,19,1,1,21,2,7,0.286,0,1,0,2,6,0.333,0.286,1,2,0.5,2,3,5,0,1,1,0,1,5,
Brandon Ashley,TEX,23,1,1,41,5,13,0.385,3,10,0.3,2,3,0.667,0.5,4,4,1,1,5,6,2,0,1,1,1,17,
Brandon Austin,REN,23,1,0,10,2,5,0.4,1,2,0.5,1,3,0.333,0.5,5,6,0.833,1,3,4,1,0,0,1,1,10,
J.J. Avila,TEX,26,1,0,21,3,5,0.6,1,3,0.333,2,2,1,0.7,1,1,1,0,3,3,0,1,0,1,0,8,
Devon Baulkman,WES,26,1,0,11,0,2,0,0,1,0,0,1,0,0,1,2,0.5,0,1,1,1,0,1,0,1,1,
V.J. Beachem,SBL,23,2,0,11,0,4,0,0,2,0,0,2,0,0,0,0,,0,0,0,0,1,0,0,1,0,
