Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
R.J. Hampton,LAK,21,8,0,218,62,134,0.463,9,32,0.281,53,102,0.52,0.496,29,34,0.853,13,21,34,15,4,1,11,13,181,
Kameron Hankerson,LIN,22,17,0,228,37,86,0.43,12,46,0.261,25,40,0.625,0.5,7,7,1,5,30,35,22,8,9,13,13,99,
Dusty Hannahs,SCW,20,16,15,484,99,211,0.469,52,116,0.448,47,95,0.495,0.592,22,23,0.957,15,36,51,56,9,1,37,25,284,
Amauri Hardy,TEX,29,16,2,392,69,164,0.421,16,52,0.308,53,112,0.473,0.47,11,20,0.55,7,32,39,62,15,3,18,22,174,
Ron Harper Jr.,RAP,25,17,16,572,104,212,0.491,35,98,0.357,69,114,0.605,0.573,31,40,0.775,25,62,87,40,11,25,23,47,291,
Jalen Harris,WES,24,7,3,201,30,94,0.319,12,38,0.316,18,56,0.321,0.383,6,7,0.857,0,22,22,22,3,2,15,24,81,
Kevon Harris,LAK,25,14,11,394,85,166,0.512,33,75,0.44,52,91,0.571,0.611,30,34,0.882,20,53,73,39,17,4,25,36,250,
Shaquille Harrison,SBL,29,19,19,618,100,192,0.521,6,29,0.207,94,163,0.577,0.536,25,34,0.735,12,98,110,167,37,18,53,58,247,
Ryan Hawkins,RAP,22,16,2,286,38,76,0.5,18,46,0.391,20,30,0.667,0.618,3,5,0.6,21,24,45,17,15,4,5,28,101,
Jericole Hellems,STO,22,9,0,58,6,16,0.375,1,8,0.125,5,8,0.625,0.406,4,4,1,3,7,10,6,0,2,5,13,20,
Scoot Henderson,GLI,18,11,11,328,70,154,0.455,7,25,0.28,63,129,0.488,0.477,28,37,0.757,10,40,50,63,14,5,39,33,195,
Mustapha Heron,RGV,24,13,1,234,42,94,0.447,14,44,0.318,28,50,0.56,0.521,13,16,0.813,9,20,29,9,7,2,15,28,122,
A.J. Hess,SCW,29,1,0,14,0,5,0,0,5,0,0,0,,0,0,0,,0,5,5,2,0,0,0,1,0,
Malcolm Hill,WCB,27,8,8,305,36,90,0.4,19,53,0.358,17,37,0.459,0.506,17,20,0.85,10,40,50,20,11,2,6,23,121,
Nate Hinton,CLC,23,18,18,603,98,201,0.488,34,95,0.358,64,106,0.604,0.572,10,14,0.714,28,78,106,35,23,6,30,48,246,
Tra-Deon Hollins,RAP,27,5,0,86,9,26,0.346,2,9,0.222,7,17,0.412,0.385,0,0,,1,8,9,34,4,0,12,13,20,
Tra-Deon Hollins,TEX,27,4,0,88,8,30,0.267,4,18,0.222,4,12,0.333,0.333,3,4,0.75,1,7,8,24,5,0,10,11,26,
Scotty Hopson,OKL,33,12,1,312,65,126,0.516,4,10,0.4,61,116,0.526,0.532,21,28,0.75,10,41,51,28,10,5,23,17,169,
Jeriah Horne,STO,26,20,0,289,34,72,0.472,22,51,0.431,12,21,0.571,0.625,2,2,1,10,47,57,15,9,7,9,29,94,
Caleb Houstan,LAK,20,6,0,167,31,76,0.408,17,52,0.327,14,24,0.583,0.52,10,11,0.909,12,13,25,12,2,1,16,10,92,
